iter	Passed	Remaining
0	52	105200
1	100	100678
2	150	100073
3	199	99347
4	242	96774
5	296	98664
6	347	98955
7	390	97212
8	437	96701
9	481	95760
10	523	94736
11	566	93859
12	608	93045
13	657	93253
14	699	92542
15	741	91959
16	789	92129
17	831	91590
18	875	91293
19	919	91007
20	961	90624
21	1004	90279
22	1051	90391
23	1100	90611
24	1142	90237
25	1190	90368
26	1238	90470
27	1289	90850
28	1343	91298
29	1385	90989
30	1428	90707
31	1469	90374
32	1522	90723
33	1565	90521
34	1617	90786
35	1671	91192
36	1719	91238
37	1768	91324
38	1824	91726
39	1877	91997
40	1921	91787
41	1972	91946
42	2020	91946
43	2064	91776
44	2112	91771
45	2156	91601
46	2201	91469
47	2244	91266
48	2288	91130
49	2338	91191
50	2386	91195
51	2436	91275
52	2485	91308
53	2530	91189
54	2584	91407
55	2632	91388
56	2680	91383
57	2725	91262
58	2771	91192
59	2817	91095
60	2859	90898
61	2907	90884
62	2956	90887
63	3004	90875
64	3051	90853
65	3093	90654
66	3137	90519
67	3181	90394
68	3230	90394
69	3272	90230
70	3320	90217
71	3364	90099
72	3413	90096
73	3459	90050
74	3501	89866
75	3543	89704
76	3594	89767
77	3640	89707
78	3682	89543
79	3726	89427
80	3767	89254
81	3809	89106
82	3857	89084
83	3905	89090
84	3952	89049
85	4000	89036
86	4045	88963
87	4093	88942
88	4137	88832
89	4180	88710
90	4224	88625
91	4278	88728
92	4325	88696
93	4368	88571
94	4412	88481
95	4454	88354
96	4497	88233
97	4544	88203
98	4586	88079
99	4628	87940
100	4675	87911
101	4723	87886
102	4765	87776
103	4808	87669
104	4854	87616
105	4897	87515
106	4950	87585
107	4997	87557
108	5048	87585
109	5097	87582
110	5152	87691
111	5207	87777
112	5252	87718
113	5296	87624
114	5339	87520
115	5388	87514
116	5431	87411
117	5480	87403
118	5527	87377
119	5569	87256
120	5617	87226
121	5659	87123
122	5702	87016
123	5749	86988
124	5793	86902
125	5837	86821
126	5885	86793
127	5928	86710
128	5972	86618
129	6017	86557
130	6060	86465
131	6103	86376
132	6153	86380
133	6196	86288
134	6238	86183
135	6284	86133
136	6327	86047
137	6375	86019
138	6423	86004
139	6470	85963
140	6513	85877
141	6556	85789
142	6599	85701
143	6642	85619
144	6689	85582
145	6737	85553
146	6784	85520
147	6833	85512
148	6879	85456
149	6923	85387
150	6965	85297
151	7014	85280
152	7057	85203
153	7099	85106
154	7143	85029
155	7190	84992
156	7239	84978
157	7282	84901
158	7330	84875
159	7373	84795
160	7416	84709
161	7459	84630
162	7504	84574
163	7547	84500
164	7598	84509
165	7646	84481
166	7695	84464
167	7740	84412
168	7786	84365
169	7829	84277
170	7876	84249
171	7922	84195
172	7969	84167
173	8012	84082
174	8061	84067
175	8109	84047
176	8153	83979
177	8197	83909
178	8247	83900
179	8296	83889
180	8340	83822
181	8384	83756
182	8434	83741
183	8479	83690
184	8521	83599
185	8563	83520
186	8610	83483
187	8654	83413
188	8696	83330
189	8745	83313
190	8787	83232
191	8830	83155
192	8877	83118
193	8923	83067
194	8973	83060
195	9016	82985
196	9061	82934
197	9109	82906
198	9155	82861
199	9214	82929
200	9256	82849
201	9300	82780
202	9348	82753
203	9392	82688
204	9434	82609
205	9482	82580
206	9528	82534
207	9576	82503
208	9620	82442
209	9663	82370
210	9709	82324
211	9751	82244
212	9799	82216
213	9842	82140
214	9886	82080
215	9934	82051
216	9976	81975
217	10020	81910
218	10069	81893
219	10117	81860
220	10160	81792
221	10205	81736
222	10254	81710
223	10296	81633
224	10340	81573
225	10392	81575
226	10439	81535
227	10485	81488
228	10527	81414
229	10569	81338
230	10612	81274
231	10656	81212
232	10701	81156
233	10749	81123
234	10795	81081
235	10844	81055
236	10889	81008
237	10937	80971
238	10982	80920
239	11030	80891
240	11074	80827
241	11121	80793
242	11165	80729
243	11210	80679
244	11256	80634
245	11303	80594
246	11348	80539
247	11392	80485
248	11438	80433
249	11488	80421
250	11532	80362
251	11579	80319
252	11624	80272
253	11669	80214
254	11717	80184
255	11765	80149
256	11811	80105
257	11855	80046
258	11902	80011
259	11950	79978
260	11999	79948
261	12042	79885
262	12090	79855
263	12135	79803
264	12178	79732
265	12231	79734
266	12274	79670
267	12317	79606
268	12363	79557
269	12412	79534
270	12463	79517
271	12511	79487
272	12558	79444
273	12604	79398
274	12648	79341
275	12696	79307
276	12741	79254
277	12786	79203
278	12830	79143
279	12881	79131
280	12925	79070
281	12974	79040
282	13018	78983
283	13066	78954
284	13117	78935
285	13161	78874
286	13204	78814
287	13248	78753
288	13294	78706
289	13341	78669
290	13389	78632
291	13438	78605
292	13482	78546
293	13529	78505
294	13571	78439
295	13620	78411
296	13665	78359
297	13713	78321
298	13755	78253
299	13799	78197
300	13841	78128
301	13885	78069
302	13936	78055
303	13991	78057
304	14036	78004
305	14081	77956
306	14125	77898
307	14168	77833
308	14211	77774
309	14275	77821
310	14324	77796
311	14371	77752
312	14414	77693
313	14459	77641
314	14505	77594
315	14550	77540
316	14594	77483
317	14639	77433
318	14684	77380
319	14732	77344
320	14778	77300
321	14823	77246
322	14866	77186
323	14917	77164
324	14968	77147
325	15017	77113
326	15059	77049
327	15108	77015
328	15154	76971
329	15196	76904
330	15239	76841
331	15288	76812
332	15332	76752
333	15376	76697
334	15421	76648
335	15465	76588
336	15509	76535
337	15553	76480
338	15595	76414
339	15638	76353
340	15678	76277
341	15722	76223
342	15765	76161
343	15810	76108
344	15855	76058
345	15898	76001
346	15941	75939
347	15984	75878
348	16033	75850
349	16081	75812
350	16127	75767
351	16173	75720
352	16214	75650
353	16261	75612
354	16310	75579
355	16351	75511
356	16398	75471
357	16447	75436
358	16492	75388
359	16534	75325
360	16579	75273
361	16623	75219
362	16664	75151
363	16715	75127
364	16763	75089
365	16806	75031
366	16855	75001
367	16898	74939
368	16940	74879
369	16987	74836
370	17030	74780
371	17072	74715
372	17115	74655
373	17165	74629
374	17211	74581
375	17259	74547
376	17303	74491
377	17345	74430
378	17388	74369
379	17438	74344
380	17483	74295
381	17529	74246
382	17570	74182
383	17618	74145
384	17660	74083
385	17708	74043
386	17749	73980
387	17791	73916
388	17835	73865
389	17876	73797
390	17920	73744
391	17962	73684
392	18007	73633
393	18053	73587
394	18101	73549
395	18141	73483
396	18186	73432
397	18237	73406
398	18283	73361
399	18326	73306
400	18377	73280
401	18425	73244
402	18470	73193
403	18520	73163
404	18561	73099
405	18605	73047
406	18656	73019
407	18700	72967
408	18744	72914
409	18788	72863
410	18831	72807
411	18876	72755
412	18927	72731
413	18969	72669
414	19013	72617
415	19054	72554
416	19098	72499
417	19145	72458
418	19189	72408
419	19237	72370
420	19280	72314
421	19324	72259
422	19376	72236
423	19423	72197
424	19466	72139
425	19508	72082
426	19555	72038
427	19605	72010
428	19648	71952
429	19694	71908
430	19743	71873
431	19790	71833
432	19837	71788
433	19879	71731
434	19928	71696
435	19971	71640
436	20027	71633
437	20087	71637
438	20143	71625
439	20193	71596
440	20239	71548
441	20284	71499
442	20332	71462
443	20379	71421
444	20422	71365
445	20473	71336
446	20523	71304
447	20570	71261
448	20618	71225
449	20662	71170
450	20709	71127
451	20758	71091
452	20806	71052
453	20849	70996
454	20896	70956
455	20940	70904
456	20988	70864
457	21036	70825
458	21085	70789
459	21131	70743
460	21177	70698
461	21222	70650
462	21268	70602
463	21315	70562
464	21361	70514
465	21407	70470
466	21458	70440
467	21506	70400
468	21554	70361
469	21598	70311
470	21643	70260
471	21691	70220
472	21734	70164
473	21775	70105
474	21820	70056
475	21865	70007
476	21912	69964
477	21963	69932
478	22007	69880
479	22053	69835
480	22097	69784
481	22144	69740
482	22195	69710
483	22240	69661
484	22287	69620
485	22340	69595
486	22384	69542
487	22434	69510
488	22477	69453
489	22519	69397
490	22560	69337
491	22612	69306
492	22658	69261
493	22700	69203
494	22745	69156
495	22792	69113
496	22834	69055
497	22880	69007
498	22924	68956
499	22967	68903
500	23016	68864
501	23055	68800
502	23098	68744
503	23143	68696
504	23193	68661
505	23242	68625
506	23285	68571
507	23330	68520
508	23375	68472
509	23417	68414
510	23461	68364
511	23504	68309
512	23548	68258
513	23588	68194
514	23630	68138
515	23676	68093
516	23718	68034
517	23763	67986
518	23809	67941
519	23856	67899
520	23897	67839
521	23940	67785
522	23985	67736
523	24030	67689
524	24072	67631
525	24116	67580
526	24161	67534
527	24206	67486
528	24253	67443
529	24302	67404
530	24345	67350
531	24389	67299
532	24439	67266
533	24484	67217
534	24532	67176
535	24578	67131
536	24618	67069
537	24663	67022
538	24714	66990
539	24761	66946
540	24803	66892
541	24849	66845
542	24893	66796
543	24938	66747
544	24981	66694
545	25026	66645
546	25068	66588
547	25114	66544
548	25159	66495
549	25210	66463
550	25254	66414
551	25302	66372
552	25351	66335
553	25400	66297
554	25448	66256
555	25494	66212
556	25536	66156
557	25582	66111
558	25624	66054
559	25674	66021
560	25718	65969
561	25769	65937
562	25819	65902
563	25867	65861
564	25917	65826
565	25965	65785
566	26015	65749
567	26058	65696
568	26103	65649
569	26149	65603
570	26191	65548
571	26236	65500
572	26281	65452
573	26329	65411
