,0,1
0,merchant_min,1438
1,mode_mean,601
2,day_max_y,505
3,day_vary-varx,477
4,day_min_x,463
5,device2_var_x,452
6,geo_code_median_x,380
7,merchant_max,374
8,mode_min,367
9,version_mean,351
10,geo_code_max_x,340
11,day_mean_x,335
12,day_var_x,332
13,ip1_min_x,321
14,wifi_min,316
15,hour_var_x,312
16,UID,308
17,merchant_var,299
18,merchant,299
19,amt_src1_max,294
20,wifi_mean,285
21,success_var,275
22,merchant_median,274
23,trans_amt_sum,270
24,trans_amt_max,268
25,mode_median,266
26,mac2_median,266
27,trans_amt_var,263
28,amt_src1_mean,257
29,ip1_var_y,246
30,mac2_min,239
31,device1_min_x,238
32,market_type_var,234
33,trans_type2_min,233
34,day_sum_y,232
35,mode_max,232
36,trans_amt_min,230
37,geo_code_sum_y,229
38,trans_amt_mean,227
39,wifi_var,218
40,device_code2_min_x,216
41,amt_src1_var,215
42,market_type,215
43,geo_code_var_x,210
44,success_mean,209
45,day_mean_y,208
46,geo_code_max_y,202
47,market_type_median,201
48,channel_max,200
49,ip1_max_y,197
50,amt_src1_min,193
51,day_max_x,182
52,version_var,177
53,amt_src2_mean,176
54,day_var_y,175
55,minutes_var_x,174
56,day_sum_x,172
57,device1_mean_x,169
58,ip1_x,169
59,day_maxy-minx,168
60,geo_code_mean_x,168
61,mode_var,167
62,device_code2_median_x,163
63,day_median_x,162
64,mac2_mean,160
65,device1_var_x,159
66,trans_type1_mean,159
67,trans_type2_var,156
68,success_sum,155
69,ip1_sub_min,155
70,wifi_median,153
71,trans_type2_sum,152
72,ip1_y,151
73,p1_sub_min,146
74,ip2_sub_var,145
75,hour_mean_x,145
76,merchant_mean,143
77,device2_median_x,142
78,trans_amt_median,138
79,ip1_sum_x,136
80,p1_sub_var,136
81,device_code1_sum_y,135
82,device2_var_y,132
83,mac1_min_x,132
84,geo_code_mean_y,131
85,device1_sum_x,131
86,minutes_median_x,131
87,channel_mean,130
88,geo_code_x,128
89,trans_type2_max,127
90,os_min,127
91,device_code2_mean_y,126
92,ip1_sub_x,126
93,wifi_sum,125
94,device2_mean_x,125
95,geo_code_sum_x,125
96,hour_sum_y,125
97,day_median_y,124
98,minutes_mean_x,124
99,ip1_sub_var,123
100,device_code2_median_y,122
101,day_x,122
102,device_code2_sum_x,121
103,geo_code_median_y,119
104,geo_code_min_y,119
105,amt_src1_median,118
106,merchant_sum,114
107,hour_sum_x,113
108,mac1_channel_count,113
109,geo_code_y,111
110,device_code2_var_x,111
111,mac2_var,110
112,geo_code_min_x,108
113,day_min_y,106
114,ip1_sub_median,106
115,device1_median_y,104
116,mac2_sum,104
117,device2_max_y,103
118,minutes_max_x,101
119,hour_max_x,100
120,market_type_min,99
121,device_code1_mean_x,97
122,device_code2_mean_x,95
123,device_code1_sum_x,95
124,trans_type2_mean,94
125,device_code2_min_y,93
126,hour_median_y,92
127,p1_sub_median,92
128,device2_min_x,90
129,mac1_mean_x,87
130,device_code1_min_x,86
131,hour_var_y,85
132,ip1_median_x,85
133,acc_id1_channel_count,84
134,mac1_var_x,84
135,ip1_min_y,84
136,os_var,82
137,ip1_sub_channel_count,82
138,device2_x,82
139,device2_median_y,81
140,minutes_mean_y,80
141,ip2_sub_mean,80
142,acc_id1_mean,80
143,amt_src2_var,76
144,mode_sum,75
145,ip1_sub_mean,74
146,ip1_mean_x,74
147,os_mean,73
148,day_y,73
149,success_max,72
150,device_code1_max_x,71
151,device2_mean_y,70
152,p1_sub_max,69
153,minutes_var_y,69
